departamento,codigo_departamento,municipio,codigo_municipio,poblacion,1/1/2021,1/2/2021
EL PROGRESO,2,SANARATE,207,41997,0,0
SANTA ROSA,6,BARBERENA,602,60376,0,0
SAN MARCOS,12,SAN PABLO,1219,51253,0,0
EL PROGRESO,2,GUASTATOYA,201,27001,0,0
SACATEPEQUEZ,3,SAN MIGUEL DUEÑAS,313,15231,0,0
ESCUINTLA,5,PUERTO DE SAN JOSE,509,66314,0,0
SAN MARCOS,12,TAJUMULCO,1209,62329,0,0
HUEHUETENANGO,13,CHIANTLA,1302,91954,0,0
QUETZALTENANGO,9,SAN JUAN OSTUNCALCO,909,60791,0,0
RETALHULEU,11,SAN ANDRES VILLA SECA,1106,55133,0,0
PETEN,17,SAN BENITO,1703,52439,0,1
SACATEPEQUEZ,3,PASTORES,303,19389,0,0
SAN MARCOS,12,LA BLANCA,1230,33764,0,0
SACATEPEQUEZ,3,SAN ANTONIO AGUAS CALIENTES,315,12438,0,0
ZACAPA,19,RIO HONDO,1903,23030,0,0
JALAPA,21,MATAQUESCUINTLA,2107,45870,0,0
TOTONICAPAN,8,SAN FRANCISCO EL ALTO,803,64224,0,0
SACATEPEQUEZ,3,JOCOTENANGO,302,23160,0,0
CHIMALTENANGO,4,ACATENANGO,411,28043,0,0
CHIMALTENANGO,4,PARRAMOS,414,19693,0,0
SAN MARCOS,12,COMITANCILLO,1204,79867,0,1
QUICHE,14,CHICAMAN,1419,42342,0,0
ALTA VERAPAZ,16,COBAN,1601,224109,0,0
SACATEPEQUEZ,3,ALOTENANGO,314,27787,0,0
SOLOLA,7,SAN JUAN LA LAGUNA,717,13123,0,0
SAN MARCOS,12,TEJUTLA,1210,43512,0,0
PETEN,17,LAS CRUCES,1713,37915,0,0
ESCUINTLA,5,SAN VICENTE PACAYA,512,17923,0,0
QUETZALTENANGO,9,ZUNIL,916,15414,0,0
SUCHITEPEQUEZ,10,SAN FRANCISCO ZAPOTITLAN,1003,24289,0,0
SUCHITEPEQUEZ,10,SANTO DOMINGO SUCHITEPEQUEZ,1006,48188,0,0
ALTA VERAPAZ,16,SAN JUAN CHAMELCO,1610,60355,0,0
CHIMALTENANGO,4,ZARAGOZA,415,28473,0,0
ESCUINTLA,5,LA GOMERA,507,51024,0,0
SUCHITEPEQUEZ,10,SANTO TOMAS LA UNION,1017,12569,0,0
ESCUINTLA,5,SIQUINALA,504,25677,0,0
QUETZALTENANGO,9,OLINTEPEQUE,903,38219,0,0
SUCHITEPEQUEZ,10,RIO BRAVO,1020,30776,0,0
ALTA VERAPAZ,16,SANTA CRUZ VERAPAZ,1602,34981,0,0
ALTA VERAPAZ,16,TACTIC,1604,41224,0,0
IZABAL,18,MORALES,1804,106156,0,0
QUETZALTENANGO,9,CANTEL,914,45229,0,0
SUCHITEPEQUEZ,10,SAMAYAC,1008,26350,0,0
SUCHITEPEQUEZ,10,SANTA BARBARA,1015,27567,0,0
SANTA ROSA,6,SANTA ROSA DE LIMA,603,21088,0,0
QUETZALTENANGO,9,SAN CARLOS SIJA,904,34866,0,0
SUCHITEPEQUEZ,10,PATULUL,1014,41984,0,0
JALAPA,21,JALAPA,2101,188522,0,0
RETALHULEU,11,CHAMPERICO,1107,38006,0,0
HUEHUETENANGO,13,TECTITAN,1321,11635,0,0
QUICHE,14,IXCAN,1420,107265,0,0
TOTONICAPAN,8,SAN CRISTOBAL TOTONICAPAN,802,42354,0,0
QUETZALTENANGO,9,COLOMBA,917,55290,0,0
ALTA VERAPAZ,16,CHISEC,1613,104428,0,0
SACATEPEQUEZ,3,CIUDAD VIEJA,312,40083,0,0
CHIMALTENANGO,4,EL TEJAR,416,22618,0,0
SAN MARCOS,12,EL TUMBADOR,1213,51299,0,0
JUTIAPA,22,QUEZADA,2217,23311,0,0
ESCUINTLA,5,TIQUISATE,506,62895,0,0
SANTA ROSA,6,TAXISCO,609,36117,0,0
SUCHITEPEQUEZ,10,SAN BERNARDINO,1004,16817,0,0
HUEHUETENANGO,13,AGUACATAN,1327,57977,0,0
CHIQUIMULA,20,QUETZALTEPEQUE,2009,29377,1,0
SOLOLA,7,PANAJACHEL,710,15840,0,0
SUCHITEPEQUEZ,10,CUYOTENANGO,1002,37283,0,0
HUEHUETENANGO,13,HUEHUETENANGO,1301,129232,0,0
ALTA VERAPAZ,16,SAN CRISTOBAL VERAPAZ,1603,79308,0,0
PETEN,17,LA LIBERTAD,1705,83375,0,0
ZACAPA,19,SAN DIEGO,1908,7544,0,0
QUETZALTENANGO,9,SALCAJA,902,20851,0,0
PETEN,17,EL CHAL,1714,15225,0,0
HUEHUETENANGO,13,LA DEMOCRACIA,1312,59788,0,0
ZACAPA,19,HUITE,1910,11948,0,0
ZACAPA,19,TECULUTAN,1905,20032,0,0
EL PROGRESO,2,MORAZAN,202,12577,0,0
RETALHULEU,11,SAN MARTIN ZAPOTITLAN,1104,12905,0,0
